politician_id,name,party,occupation,year_of_birth,field_title,sex,education,x,y
175538,Awet Tesfaiesus,BÜNDNIS 90/­DIE GRÜNEN,Partnerin einer Kanzlei,1974.0,,f,Rechtsanwältin,-5.550951,4.7886424
158594,Tobias Teich,AfD,,,,m,,0.5805563,-7.8082952
182828,Vivian Tauschwitz,CDU/CSU,Master Internationale Beziehungen - Rechtswissenschaften,1994.0,,f,Zeitsoldatin,5.1338854,3.5073435
175488,Ruppert Stüwe,SPD,MdB,1978.0,,m,Dipl. Volkswirt,5.1111403,3.4843073
177578,Christina Stumpp,CDU/CSU,MdB,1987.0,,f,"Steuerrechtlerin LL.B., Verwaltungswirtin",5.1102986,3.467722
182851,Hendrik Streeck,CDU/CSU,,1977.0,,m,Virologe,5.0877194,3.492945
175953,Otto Strauß,AfD,Geschäftsführer in einem Betrieb für Luft- und Raumfahrt,1954.0,,m,Dachdeckermeister,0.64661735,-7.979896
182862,Katja Strauss-Köster,CDU/CSU,Bürgermeisterin der Stadt Herdecke,1970.0,Dr.,f,Studium der Raumplanung,5.1371164,3.4747694
78976,Stephan Stracke,CDU/CSU,MdB,1974.0,,m,Volljurist,5.098648,3.4924533
29202,Beatrix von Storch,AfD,MdB,1971.0,,f,Juristin,0.70010626,-8.014259
78979,Dieter Stier,CDU/CSU,MdB,1964.0,,m,Dipl. Ing. agr.,5.0158777,3.461823
78939,Christian von Stetten,CDU/CSU,MdB,1970.0,,m,selbstständiger Kaufmann,5.1413803,3.5022707
175972,Thomas Stephan,AfD,Versicherungsvermittler,1970.0,,m,Selbst. Versicherungs- und Finanzanlagenfachmann,0.6326496,-8.247714
164996,Hanna Steinmüller,BÜNDNIS 90/­DIE GRÜNEN,MdB,1993.0,,f,Sozialwissenschaftlerin,-5.422003,4.7914395
78797,Johannes Steiniger,CDU/CSU,MdB,1987.0,,m,Gymnasiallehrer,5.1308694,3.498405
182839,Sebastian Steineke,CDU/CSU,"Rechtsanwalt, MdB",1973.0,,m,Volljurist,5.141197,3.4724472
183064,Sandra Stein,BÜNDNIS 90/­DIE GRÜNEN,Familienunternehmerin,1986.0,,f,B.A. in Medienwissenschaft & Philosophie,-5.5562043,4.943269
139062,Ralf Stegner,SPD,MdB,1959.0,,m,"Studium der Politikwissenschaft, Geschichte und Germanistik",4.983456,3.3109064
78981,Albert Stegemann,CDU/CSU,MdB,1976.0,,m,Landwirtschaftsmeister,5.0811305,3.495103
78988,Wolfgang Stefinger,CDU/CSU,MdB,1985.0,,m,,5.1189413,3.4872098
66475,Till Steffen,BÜNDNIS 90/­DIE GRÜNEN,MdB,1973.0,Dr.,m,Rechtsanwalt und Fachanwalt für Verwaltungsrecht,-5.147324,5.321386
183211,Julia-Christina Stange,Die Linke,Fachkinderkrankenschwester,1978.0,,f,Fachkinderkrankenschwester,-9.681356,4.3403854
145898,Katrin Staffler,CDU/CSU,MdB,1981.0,,f,Biochemikerin M.Sc.,5.1285677,3.492505
78996,Svenja Stadler,SPD,MdB,1976.0,,f,Senior-PR-Beraterin,5.0955763,3.4899566
145723,René Springer,AfD,MdB,1979.0,,m,Meister Elektrotechnik / Politikwissenschaftler M.A.,1.7728311,-7.938954
78993,Jens Spahn,CDU/CSU,MdB,1980.0,,m,Bankkaufmann,5.1499805,3.4781716
78992,Tino Sorge,CDU/CSU,MdB,1975.0,,m,Jurist,5.1122212,3.4386818
164992,Nyke Slawik,BÜNDNIS 90/­DIE GRÜNEN,Bundestagsabgeordnete,1994.0,,f,Wissenschaftliche Mitarbeiterin,-5.5251465,4.946089
145888,Björn Simon,CDU/CSU,MdB,1981.0,,m,,5.089705,3.4465356
78831,Thomas Silberhorn,CDU/CSU,MdB,1968.0,,m,Rechtsanwalt,5.125497,3.473436
145823,Martin Sichert,AfD,MdB,1980.0,,m,Diplom-Kaufmann,0.22020455,-9.354848
175519,Lina Seitzl,SPD,MdB,1989.0,Dr.,f,wissenschaftliche Mitarbeiterin und Hochschuldozentin,5.1198573,3.480582
182873,Nora Seitz,CDU/CSU,,,,f,,5.1224256,3.4833026
183482,Dario Seifert,AfD,,,,m,,0.5094703,-7.930014
78825,Detlef Seif,CDU/CSU,MdB,1962.0,,m,Studium der Rechtswissenschaften,5.054324,3.4777782
176316,Stefan Seidler,fraktionslos,MdB,1979.0,,m,Master of Science,-1.752126,6.2063456
175370,Evelyn Schötz,Die Linke,Allgemeinpsychiatrische Station bei den Bezirkskliniken Mittelfranken,1961.0,,f,staatlich anerkannte Altenpflegerin,-9.624036,4.358971
158733,Marlene Schönberger,BÜNDNIS 90/­DIE GRÜNEN,Politikwissenschaftlerin an der LMU München,1990.0,,f,Politikwissenschaftlerin M.A.,-5.5570693,4.82713
175522,Johannes Schätzl,SPD,MdB,1993.0,,m,Informatiker,5.139526,3.504235
175649,Sebastian Schäfer,BÜNDNIS 90/­DIE GRÜNEN,MdB,1979.0,Dr.,m,Wirtschaftswissenschaftler,-5.5530353,4.9325933
175580,Jamila Anna Schäfer,BÜNDNIS 90/­DIE GRÜNEN,MdB,1993.0,,f,,-4.598419,6.0903788
180854,Ines Schwerdtner,Die Linke,Publizistin,1989.0,,f,,-6.5057335,7.370853
79001,Rita Schwarzelühr-Sutter,SPD,"Parlamentarische Staatssekretärin, MdB",1962.0,,f,Diplom-Betriebswirtin,5.1031017,3.4622545
79000,Andreas Schwarz,SPD,MdB,1965.0,,m,Dipl. Betriebswirt (FH),5.1410394,3.520978
78999,Stefan Schwartze,SPD,MdB,1974.0,,m,Industriemechaniker,5.094495,3.4383287
78998,Frank Schwabe,SPD,MdB,1970.0,,m,Gästeführer,5.1812153,3.4823868
131019,Svenja Schulze,SPD,Bundesministerin für Wirtschaftliche Zusammenarbeit und Entwicklung und MdB,1968.0,,f,Germanistin und Politikwissenschaftlerin (Magister) und Unternehmensberaterin,5.1049724,3.4707873
145770,Uwe Schulz,AfD,MdB,1961.0,,m,Siehe Lebenslauf,0.28567025,-8.197681
182848,Marvin Schulz,CDU/CSU,,,,m,,2.7691014,2.233586
175905,Bernd Schuhmann,AfD,,,,m,Gartenbaumeister,0.26038542,-8.75593
170151,Stefan Schröder,AfD,Referent,1983.0,,m,M.A. Geschichtswissenschaften,0.47637925,-7.624956
183529,Georg Schroeter,AfD,,,,m,,0.32206434,-8.019076
121738,Michael Schrodi,SPD,MdB,1977.0,,m,"Gymnasiallehrer für Deutsch, Geschichte und Sozialkunde",5.0489573,3.46843
108783,Felix Schreiner,CDU/CSU,MdB,1986.0,,m,,5.0878916,3.469817
29441,Johannes Schraps,SPD,MdB,1983.0,,m,"Politikwissenschaften, M.A.",4.9681053,3.4110758
66924,Olaf Scholz,SPD,"Bundeskanzler der Bundesrepublik Deutschland,MdB",1958.0,,m,Rechtsanwalt,5.119344,3.5202615
78836,Patrick Schnieder,CDU/CSU,MdB,1968.0,,m,Jurist,4.9937406,3.5219088
176576,Julia Schneider,BÜNDNIS 90/­DIE GRÜNEN,Regierungsrätin a. P.,1990.0,,f,Master of European Studies & Master of Intercultural Communication Studies,-5.547812,4.9753337
140944,Uwe Schmidt,SPD,Mitglied des Bundestages,1966.0,,m,Hafenfacharbeiter,5.1605916,3.4473088
121977,Stefan Schmidt,BÜNDNIS 90/­DIE GRÜNEN,MdB,1981.0,,m,"Lehramt Hauptschullehrer, Schwerpunkt Sozialkunde",-5.5442576,4.9213586
