politician_id,name,party,occupation,year_of_birth,field_title,sex,education,x,y
182972,David Mandrella,SPD,Lehrer,2001.0,,m,,5.099567,0.7990582
184332,Mayra Vriesema,BÜNDNIS 90/­DIE GRÜNEN,,1999.0,,f,Politikwissenschaftlerin,-4.137941,4.6626916
183275,Lisa Schubert,Die Linke,Student*in Sozialwissenschaften,2002.0,,d,,-6.9385824,5.2243776
182187,Andrea Lübcke,BÜNDNIS 90/­DIE GRÜNEN,Wissenschaftsbasierte Politikberatung,1978.0,Dr.,f,Physikerin,-4.234662,5.3145933
182836,Reza Asghari,CDU/CSU,Professor,1961.0,,m,Doktor der Wirtschaftswissenschaften,7.0888834,1.2677891
79014,Carsten Schneider,SPD,"MdB, Parlamentsgeschäftsführer im Bundestag",1976.0,,m,Bankkaufmann,6.83968,1.0592597
175896,Alexis Giersch,AfD,Kanalsteuerer a.D.,,,m,,-1.8734627,-9.697337
79097,Aydan Özoğuz,SPD,MdB,,,f,,6.9475203,1.1769595
78834,Mahmut Özdemir,SPD,"Rechtsreferendar (beurlaubt), MdB",1987.0,,m,,6.943804,1.2088318
66563,Cansu Özdemir,Die Linke,MdHB & Studentin,1988.0,,f,,-8.356256,6.168138
175403,Armand Zorn,SPD,MdB,1988.0,,m,"Politologe, Ökonom und Wirtschaftsjurist",6.7071257,1.1513946
178590,Ulrich von Zons,AfD,Rechtsanwalt & Fraktionsmitarbeiter,1968.0,,m,Volljurist,-1.9495196,-8.704806
182827,Vanessa-Kim Zobel,CDU/CSU,Bankkauffrau,1988.0,,f,Wirtschaftsfachwirtin (IHK geprüft),6.7228093,1.151219
183503,Jörg Zirwes,AfD,Kreis-und Fraktionsvorsitzender AfD Cochem-Zell,1968.0,,m,Berufssoldat a.D.,-2.0289888,-8.870177
175876,Nicolas Zippelius,CDU/CSU,MdB,1987.0,,m,Bachelor Politik- und Rechtswissenschaften,3.9947643,0.4368646
175914,Diana Zimmer,AfD,Controllerin,1998.0,,f,Betriebswirtin (B.Sc.),-2.0283844,-8.907748
78902,Stefan Zierke,SPD,MdB,1970.0,,m,Werkzeugmacher Reiseverkehrskaufmann und Tourismusfachwirt,6.671532,1.1352882
145878,Paul Ziemiak,CDU/CSU,MdB,1985.0,,m,,6.729793,1.1642852
145732,Kay-Uwe Ziegler,AfD,MdB,1963.0,,m,Veterinäringenieur,-3.3947544,-9.684915
78904,Emmi Zeulner,CDU/CSU,MdB,1987.0,,f,Examinierte Gesundheits- und Krankenpflegerin,6.725107,1.1219805
183257,Anne Zerr,Die Linke,Gewerkschaftssekretärin,1993.0,,f,,-7.801422,5.4754944
178558,Daniel Zerbin,AfD,Professor für Kriminalwissenschaften,,,m,,-2.1488895,-8.993211
178644,Christian Zaum,AfD,Lehrer,1969.0,,m,1. und 2. Staatsexamen für Lehramt Gymnasium,-2.067581,-8.676047
130692,Serdar Yüksel,SPD,,1973.0,,m,,6.711294,1.1210152
