id,dokumentnummer,sitzungsnummer,titel,datum,sitzungsbemerkung,pdf_url,xml_url,vorgangsbezug_anzahl,pdf_hash,aktualisiert
5755,21/46,46,Protokoll der 46. Sitzung des 21. Deutschen Bundestages,2025-12-03,,https://dserver.bundestag.de/btp/21/21046.pdf,https://dserver.bundestag.de/btp/21/21046.xml,84,4c699a15122b5822fe784d76d73624ee,2026-01-27T08:56:17+01:00
5756,21/47,47,Protokoll der 47. Sitzung des 21. Deutschen Bundestages,2025-12-04,,https://dserver.bundestag.de/btp/21/21047.pdf,https://dserver.bundestag.de/btp/21/21047.xml,53,b4dae67bb264a63d31064068ffdf0534,2025-12-09T19:04:06+01:00
5757,21/48,48,Protokoll der 48. Sitzung des 21. Deutschen Bundestages,2025-12-05,,https://dserver.bundestag.de/btp/21/21048.pdf,https://dserver.bundestag.de/btp/21/21048.xml,48,1ba647c8a97e3f32b0df88c917e39de7,2025-12-16T10:22:18+01:00
5758,21/49,49,Protokoll der 49. Sitzung des 21. Deutschen Bundestages,2025-12-17,,https://dserver.bundestag.de/btp/21/21049.pdf,,82,b7a8f1aceaf97da4de4df4efd0c9cd8c,2026-01-27T08:56:12+01:00
5759,21/50,50,Protokoll der 50. Sitzung des 21. Deutschen Bundestages,2025-12-18,,https://dserver.bundestag.de/btp/21/21050.pdf,https://dserver.bundestag.de/btp/21/21050.xml,71,7c8695d1f377d8eb6aadd0736c15c78c,2026-01-19T14:30:28+01:00
5760,21/51,51,Protokoll der 51. Sitzung des 21. Deutschen Bundestages,2025-12-19,,https://dserver.bundestag.de/btp/21/21051.pdf,https://dserver.bundestag.de/btp/21/21051.xml,47,d78d347b0646b976cfc5f75149cdd340,2026-01-26T09:47:43+01:00
5763,21/52,52,Protokoll der 52. Sitzung des 21. Deutschen Bundestages,2026-01-14,,https://dserver.bundestag.de/btp/21/21052.pdf,https://dserver.bundestag.de/btp/21/21052.xml,65,cce8d03d1a9373ceb84bbece246c775f,2026-01-20T11:53:03+01:00
5764,21/53,53,Protokoll der 53. Sitzung des 21. Deutschen Bundestages,2026-01-15,,https://dserver.bundestag.de/btp/21/21053.pdf,https://dserver.bundestag.de/btp/21/21053.xml,52,6451a6404dbe60a264db369ef3ffeb79,2026-01-21T10:14:29+01:00
5762,21/54,54,Protokoll der 54. Sitzung des 21. Deutschen Bundestages,2026-01-16,,https://dserver.bundestag.de/btp/21/21054.pdf,https://dserver.bundestag.de/btp/21/21054.xml,40,0a38e30e7cf67154cc1fd485e51054c0,2026-01-27T09:37:17+01:00
5765,21/55,55,Protokoll der 55. Sitzung des 21. Deutschen Bundestages,2026-01-28,,https://dserver.bundestag.de/btp/21/21055.pdf,https://dserver.bundestag.de/btp/21/21055.xml,73,9a6ac5c971b398fd0e80706331e56b1f,2026-02-03T14:01:50+01:00
5766,21/56,56,Protokoll der 56. Sitzung des 21. Deutschen Bundestages,2026-01-29,,https://dserver.bundestag.de/btp/21/21056.pdf,https://dserver.bundestag.de/btp/21/21056.xml,53,f208b684de6bde4a62ee90eec2ddcbe2,2026-02-04T16:05:18+01:00
5767,21/57,57,Protokoll der 57. Sitzung des 21. Deutschen Bundestages,2026-01-30,,https://dserver.bundestag.de/btp/21/21057.pdf,https://dserver.bundestag.de/btp/21/21057.xml,33,c962e39e436b7e6a01e4a432c3f4588d,2026-02-03T09:34:26+01:00
5769,21/58,58,Protokoll der 58. Sitzung des 21. Deutschen Bundestages,2026-02-25,,https://dserver.bundestag.de/btp/21/21058.pdf,https://dserver.bundestag.de/btp/21/21058.xml,75,20b7694c20d27c2f40612d5e086f4e13,2026-02-27T15:11:17+01:00
5770,21/59,59,Protokoll der 59. Sitzung des 21. Deutschen Bundestages,2026-02-26,,https://dserver.bundestag.de/btp/21/21059.pdf,https://dserver.bundestag.de/btp/21/21059.xml,57,6c66fd27ed8c023cd9407216ac9a7d6c,2026-03-03T12:55:18+01:00
5771,21/60,60,Protokoll der 60. Sitzung des 21. Deutschen Bundestages,2026-02-27,,https://dserver.bundestag.de/btp/21/21060.pdf,https://dserver.bundestag.de/btp/21/21060.xml,35,94bb40613d25fe38d2f74291e4aefa40,2026-03-04T12:02:50+01:00
5772,21/61,61,Protokoll der 61. Sitzung des 21. Deutschen Bundestages,2026-03-04,,https://dserver.bundestag.de/btp/21/21061.pdf,https://dserver.bundestag.de/btp/21/21061.xml,76,8aa5814285b0edbd0749383050fb950c,2026-03-06T08:50:52+01:00
5773,21/62,62,Protokoll der 62. Sitzung des 21. Deutschen Bundestages,2026-03-05,,https://dserver.bundestag.de/btp/21/21062.pdf,https://dserver.bundestag.de/btp/21/21062.xml,45,62c6a4963fe6cc092ec6e04d1a05652e,2026-03-17T16:16:07+01:00
5774,21/63,63,Protokoll der 63. Sitzung des 21. Deutschen Bundestages,2026-03-06,,https://dserver.bundestag.de/btp/21/21063.pdf,https://dserver.bundestag.de/btp/21/21063.xml,31,9231ac8a9db9a746efd1b468b876b4b7,2026-03-10T13:42:12+01:00
5776,21/64,64,Protokoll der 64. Sitzung des 21. Deutschen Bundestages,2026-03-18,,https://dserver.bundestag.de/btp/21/21064.pdf,https://dserver.bundestag.de/btp/21/21064.xml,67,5c1db35cc205587aa65989822c737a9a,2026-03-24T10:29:55+01:00
5777,21/65,65,Protokoll der 65. Sitzung des 21. Deutschen Bundestages,2026-03-19,,https://dserver.bundestag.de/btp/21/21065.pdf,https://dserver.bundestag.de/btp/21/21065.xml,54,aa0bbea01f9aa096eabf0e53028a1e32,2026-03-24T10:10:17+01:00
5778,21/66,66,Protokoll der 66. Sitzung des 21. Deutschen Bundestages,2026-03-20,,https://dserver.bundestag.de/btp/21/21066.pdf,https://dserver.bundestag.de/btp/21/21066.xml,38,4811f4d35143382c3fb21e9b86cf47d8,2026-03-23T17:36:44+01:00
5779,21/67,67,Protokoll der 67. Sitzung des 21. Deutschen Bundestages,2026-03-25,,https://dserver.bundestag.de/btp/21/21067.pdf,https://dserver.bundestag.de/btp/21/21067.xml,76,2c837b9b71254cde7665208e6ab2d02c,2026-03-27T09:04:57+01:00
5780,21/68,68,Protokoll der 68. Sitzung des 21. Deutschen Bundestages,2026-03-26,,https://dserver.bundestag.de/btp/21/21068.pdf,,39,c147085b77f73d8ed920f8a001e6a700,2026-03-27T10:13:47+01:00
5781,21/69,69,Protokoll der 69. Sitzung des 21. Deutschen Bundestages,2026-03-27,,https://dserver.bundestag.de/btp/21/21069.pdf,,0,,2026-03-23T10:21:04+01:00
