fraktion,wort,tfidf,rang
BÜNDNIS 90/­DIE GRÜNEN,dank bürgerin,4.8e-05,20
BÜNDNIS 90/­DIE GRÜNEN,aaron,4.3e-05,21
BÜNDNIS 90/­DIE GRÜNEN,quatschantrag,4.3e-05,22
BÜNDNIS 90/­DIE GRÜNEN,glückwunsch neu,4.3e-05,23
BÜNDNIS 90/­DIE GRÜNEN,land bürgerin,4.3e-05,24
BÜNDNIS 90/­DIE GRÜNEN,violetta bock,4.3e-05,25
BÜNDNIS 90/­DIE GRÜNEN,anwaltlich beistehen,4.3e-05,26
BÜNDNIS 90/­DIE GRÜNEN,aaron valent,4.3e-05,27
BÜNDNIS 90/­DIE GRÜNEN,klein beitrag,4.3e-05,28
BÜNDNIS 90/­DIE GRÜNEN,fraktionsvorsitzende jens,4.3e-05,29
BÜNDNIS 90/­DIE GRÜNEN,danken link,4.3e-05,30
BÜNDNIS 90/­DIE GRÜNEN,sarah vollath,4.3e-05,31
BÜNDNIS 90/­DIE GRÜNEN,regierung problem,4.3e-05,32
BÜNDNIS 90/­DIE GRÜNEN,mensch bürgergeld,4.2e-05,33
BÜNDNIS 90/­DIE GRÜNEN,markus söd,4.1e-05,34
BÜNDNIS 90/­DIE GRÜNEN,fossil gas,4e-05,35
BÜNDNIS 90/­DIE GRÜNEN,bündnisgrün,3.9e-05,36
BÜNDNIS 90/­DIE GRÜNEN,credit,3.9e-05,37
BÜNDNIS 90/­DIE GRÜNEN,stromsteuerabsenkung,3.9e-05,38
BÜNDNIS 90/­DIE GRÜNEN,link christian,3.9e-05,39
BÜNDNIS 90/­DIE GRÜNEN,mieterin mieter,3.9e-05,40
BÜNDNIS 90/­DIE GRÜNEN,kriminalpolitik,3.7e-05,41
BÜNDNIS 90/­DIE GRÜNEN,teuer-heizen-gesetz,3.7e-05,42
BÜNDNIS 90/­DIE GRÜNEN,mvz,3.7e-05,43
BÜNDNIS 90/­DIE GRÜNEN,link gökay,3.7e-05,44
BÜNDNIS 90/­DIE GRÜNEN,gerechtigkeitslücke steuersystem,3.7e-05,45
BÜNDNIS 90/­DIE GRÜNEN,umweltschädlich subvention,3.7e-05,46
BÜNDNIS 90/­DIE GRÜNEN,julia-christina stange,3.7e-05,47
BÜNDNIS 90/­DIE GRÜNEN,katrin fey,3.7e-05,48
BÜNDNIS 90/­DIE GRÜNEN,link aaron,3.7e-05,49
BÜNDNIS 90/­DIE GRÜNEN,gut kriminalpolitik,3.7e-05,50
BÜNDNIS 90/­DIE GRÜNEN,welche priorität,3.7e-05,51
BÜNDNIS 90/­DIE GRÜNEN,gleich fehler,3.7e-05,52
BÜNDNIS 90/­DIE GRÜNEN,lieber klingbeil,3.7e-05,53
BÜNDNIS 90/­DIE GRÜNEN,international klimafinanzierung,3.7e-05,54
BÜNDNIS 90/­DIE GRÜNEN,link ates,3.7e-05,55
BÜNDNIS 90/­DIE GRÜNEN,zivil seenotrettung,3.7e-05,56
BÜNDNIS 90/­DIE GRÜNEN,görke wort,3.7e-05,57
BÜNDNIS 90/­DIE GRÜNEN,teuer wahlgeschenk,3.7e-05,58
BÜNDNIS 90/­DIE GRÜNEN,dafür grün,3.7e-05,59
BÜNDNIS 90/­DIE GRÜNEN,grün lange,3.7e-05,60
BÜNDNIS 90/­DIE GRÜNEN,was sache,3.7e-05,61
BÜNDNIS 90/­DIE GRÜNEN,solaranlage dach,3.7e-05,62
BÜNDNIS 90/­DIE GRÜNEN,souverän aufstellen,3.7e-05,63
BÜNDNIS 90/­DIE GRÜNEN,afd verbieten,3.6e-05,64
BÜNDNIS 90/­DIE GRÜNEN,wort link,3.5e-05,65
BÜNDNIS 90/­DIE GRÜNEN,verbraucherin,3.5e-05,66
BÜNDNIS 90/­DIE GRÜNEN,demokratin,3.4e-05,67
BÜNDNIS 90/­DIE GRÜNEN,wohngemeinnützigkeit,3.3e-05,68
BÜNDNIS 90/­DIE GRÜNEN,merz ihnen,3.3e-05,69
BÜNDNIS 90/­DIE GRÜNEN,öffentlich verwaltet,3.3e-05,70
BÜNDNIS 90/­DIE GRÜNEN,ates gürpinar,3.3e-05,71
BÜNDNIS 90/­DIE GRÜNEN,jörg cezannen,3.3e-05,72
BÜNDNIS 90/­DIE GRÜNEN,link wort,3.2e-05,73
BÜNDNIS 90/­DIE GRÜNEN,wladimir putin,3.2e-05,74
BÜNDNIS 90/­DIE GRÜNEN,moskau-connection,3.2e-05,75
BÜNDNIS 90/­DIE GRÜNEN,garantierente,3.2e-05,76
BÜNDNIS 90/­DIE GRÜNEN,verbraucherschutzministerin,3.2e-05,77
BÜNDNIS 90/­DIE GRÜNEN,fact,3.2e-05,78
BÜNDNIS 90/­DIE GRÜNEN,finding,3.2e-05,79
BÜNDNIS 90/­DIE GRÜNEN,brot-und-butter-themen,3.2e-05,80
BÜNDNIS 90/­DIE GRÜNEN,venturecapital,3.2e-05,81
BÜNDNIS 90/­DIE GRÜNEN,tierheim,3.2e-05,82
BÜNDNIS 90/­DIE GRÜNEN,koalition koalition,3.2e-05,83
BÜNDNIS 90/­DIE GRÜNEN,kanzler all,3.2e-05,84
BÜNDNIS 90/­DIE GRÜNEN,expertenrat klimafrage,3.2e-05,85
BÜNDNIS 90/­DIE GRÜNEN,drohen mensch,3.2e-05,86
BÜNDNIS 90/­DIE GRÜNEN,nutzen endlich,3.2e-05,87
BÜNDNIS 90/­DIE GRÜNEN,care lay,3.2e-05,88
BÜNDNIS 90/­DIE GRÜNEN,möglichkeit sondervermögen,3.2e-05,89
BÜNDNIS 90/­DIE GRÜNEN,link sonja,3.2e-05,90
BÜNDNIS 90/­DIE GRÜNEN,heute jung,3.2e-05,91
BÜNDNIS 90/­DIE GRÜNEN,jorrit bosch,3.2e-05,92
BÜNDNIS 90/­DIE GRÜNEN,marcel bauer,3.2e-05,93
BÜNDNIS 90/­DIE GRÜNEN,parlamentarisch untersuchungsausschuß,3.2e-05,94
BÜNDNIS 90/­DIE GRÜNEN,fact finding,3.2e-05,95
BÜNDNIS 90/­DIE GRÜNEN,finding mission,3.2e-05,96
BÜNDNIS 90/­DIE GRÜNEN,nächst link,3.2e-05,97
BÜNDNIS 90/­DIE GRÜNEN,nutzen geld,3.2e-05,98
BÜNDNIS 90/­DIE GRÜNEN,ukraine sicherheit,3.2e-05,99
BÜNDNIS 90/­DIE GRÜNEN,sondervermögen tatsächlich,3.2e-05,100
CDU/CSU,dank bündnis,7.4e-05,1
CDU/CSU,handlungsfähigkeit bund,6.8e-05,2
CDU/CSU,arbeitskoalition,5.8e-05,3
CDU/CSU,tragfähig finanzierung,5.6e-05,4
CDU/CSU,bringen deutschland,5.5e-05,5
CDU/CSU,soldatin,5.4e-05,6
CDU/CSU,debatte bündnis,5.3e-05,7
CDU/CSU,speicherung ip-adressen,5.3e-05,8
CDU/CSU,dreistellig milliardenhöhe,5.3e-05,9
CDU/CSU,soldatin soldat,5.1e-05,10
CDU/CSU,koalitionsvertrag vereinbaren,4.9e-05,11
CDU/CSU,deutschland voranbringen,4.9e-05,12
CDU/CSU,deutschland vorne,4.6e-05,13
CDU/CSU,handlungsfähig deutschland,4.6e-05,14
CDU/CSU,marktwirtschaftlich instrument,4.3e-05,15
CDU/CSU,politisch rand,4.3e-05,16
CDU/CSU,gesetzentwurf verstärken,4.3e-05,17
CDU/CSU,bundesinnenminister alexander,4.2e-05,18
CDU/CSU,vergelts,4e-05,19
CDU/CSU,versteinerung,4e-05,20
CDU/CSU,vergelts gott,4e-05,21
CDU/CSU,sozial leitplank,4e-05,22
CDU/CSU,neu wehrdienst,3.9e-05,23
CDU/CSU,echt mehrwert,3.8e-05,24
CDU/CSU,grün gestatten,3.8e-05,25
CDU/CSU,neu schwerpunkt,3.5e-05,26
CDU/CSU,investieren reformieren,3.5e-05,27
CDU/CSU,marktwirtschaftlich,3.5e-05,28
CDU/CSU,jahr rezession,3.5e-05,29
CDU/CSU,europäisch emissionshandel,3.5e-05,30
CDU/CSU,setzen klar,3.5e-05,31
CDU/CSU,wichtig signal,3.4e-05,32
CDU/CSU,deutschland voran,3.4e-05,33
CDU/CSU,daran arbeiten,3.3e-05,34
CDU/CSU,bauernfamilie,3.3e-05,35
CDU/CSU,wesentlich punkt,3.3e-05,36
CDU/CSU,einig punkt,3.3e-05,37
CDU/CSU,mentalitätswechsel,3.3e-05,38
CDU/CSU,kommune dabei,3.3e-05,39
CDU/CSU,gesamt haus,3.3e-05,40
CDU/CSU,prozent investition,3.3e-05,41
CDU/CSU,voran viel,3.3e-05,42
CDU/CSU,laufend einnahme,3.3e-05,43
CDU/CSU,sozialstaat wirtschaftlich,3.3e-05,44
CDU/CSU,sozial marktwirtschaft,3.2e-05,45
CDU/CSU,parlamentarisch verfahren,3.2e-05,46
CDU/CSU,stark signal,3.1e-05,47
CDU/CSU,gott zuhören,3e-05,48
CDU/CSU,till steffen,3e-05,49
CDU/CSU,alexander wolf,3e-05,50
CDU/CSU,ronald glas,3e-05,51
CDU/CSU,messen mitte,3e-05,52
CDU/CSU,union koalition,3e-05,53
CDU/CSU,sieben woche,3e-05,54
CDU/CSU,arne rau,3e-05,55
CDU/CSU,anna rathert,3e-05,56
CDU/CSU,treffen finanziell,3e-05,57
CDU/CSU,stabilität regierungskoalition,3e-05,58
CDU/CSU,wettbewerbsfähigkeit wirtschaftsstandort,3e-05,59
CDU/CSU,wettbewerbsfähigkeit standort,3e-05,60
CDU/CSU,gut zusammenarbeit,3e-05,61
CDU/CSU,dreiklang,2.9e-05,62
CDU/CSU,erst wichtig,2.9e-05,63
CDU/CSU,kommend woche,2.9e-05,64
CDU/CSU,pakt rechtsstaat,2.9e-05,65
CDU/CSU,insbesondere jung,2.9e-05,66
CDU/CSU,dies tun,2.9e-05,67
CDU/CSU,euro bereit,2.9e-05,68
CDU/CSU,reformfähigkeit,2.8e-05,69
CDU/CSU,tilgungsverpflichtung,2.8e-05,70
CDU/CSU,fördern fordern,2.8e-05,71
CDU/CSU,sebastian maack,2.8e-05,72
CDU/CSU,steffen janich,2.8e-05,73
CDU/CSU,europa zukunft,2.8e-05,74
CDU/CSU,gebäude verkehr,2.8e-05,75
CDU/CSU,timon dzienu,2.8e-05,76
CDU/CSU,punkt kurz,2.8e-05,77
CDU/CSU,zusätzlich altersvorsorge,2.8e-05,78
CDU/CSU,halten vorliegend,2.8e-05,79
CDU/CSU,weit aufweichung,2.8e-05,80
CDU/CSU,stimmen rentenpaket,2.8e-05,81
CDU/CSU,finanziell vorfestlegung,2.8e-05,82
CDU/CSU,vorfestlegung jahr,2.8e-05,83
CDU/CSU,jahr dreistellig,2.8e-05,84
CDU/CSU,finanzierung gegenüberstehen,2.8e-05,85
CDU/CSU,jahrgang rente,2.8e-05,86
CDU/CSU,ordnungspolitisch fehler,2.8e-05,87
CDU/CSU,reformbedarf deutschland,2.8e-05,88
CDU/CSU,klar signal,2.8e-05,89
CDU/CSU,international vergleich,2.7e-05,90
CDU/CSU,signal setzen,2.7e-05,91
CDU/CSU,grün wort,2.7e-05,92
CDU/CSU,knapp prozent,2.6e-05,93
