fraktion,wort,tfidf,rang
AfD,masseneinwanderung,0.000175,1
AfD,alternativ deutschland,0.000142,2
AfD,grün kommunist,0.000142,3
AfD,windindustrieanlagen,0.000127,4
AfD,links-grünen,0.000119,5
AfD,eigen bürger,0.000119,6
AfD,altpartei,0.000117,7
AfD,deutsch bürger,0.000111,8
AfD,sogenannt erneuerbar,0.000101,9
AfD,kernenergie,9.5e-05,10
AfD,illegal migrant,9.5e-05,11
AfD,dumm energiepolitik,9.4e-05,12
AfD,ökosozialistisch,8.6e-05,13
AfD,saal youtuben,8.6e-05,14
AfD,sogenannt energiewende,8.6e-05,15
AfD,freiheit,7.9e-05,16
AfD,energiepolitik welt,7.9e-05,17
AfD,wählen krieg,7.4e-05,18
AfD,kernkraft,7.2e-05,19
AfD,klimareligion,6.3e-05,20
AfD,illegal massenmigration,6.3e-05,21
AfD,weltdümmst,6.1e-05,22
AfD,kartellpartei,6.1e-05,23
AfD,national,6.1e-05,24
AfD,steuerzahler,6e-05,25
AfD,land bürger,5.9e-05,26
AfD,ideologisch,5.9e-05,27
AfD,all altpartei,5.8e-05,28
AfD,wert präsidium,5.8e-05,29
AfD,meinung wer,5.8e-05,30
AfD,polen,5.8e-05,31
AfD,gruppenvergewaltigung,5.8e-05,32
AfD,deutschland bürger,5.8e-05,33
AfD,deutsch volk,5.5e-05,34
AfD,billion euro,5.5e-05,35
AfD,afd-fraktion,5.4e-05,36
AfD,beweisen,5.3e-05,37
AfD,klimaideologie,5.3e-05,38
AfD,lügen,5.3e-05,39
AfD,links-grüne,5.2e-05,40
AfD,wind,5.1e-05,41
AfD,weltdümmst energiepolitik,5.1e-05,42
AfD,grün werten,5e-05,43
AfD,staatlich,5e-05,44
AfD,spät,5e-05,45
AfD,wohlstand,5e-05,46
AfD,kernkraftwerk,4.8e-05,47
AfD,strompreis welt,4.8e-05,48
AfD,deutsch interesse,4.8e-05,49
AfD,politik bürger,4.7e-05,50
AfD,landsleute,4.7e-05,51
AfD,ins ausland,4.7e-05,52
AfD,projekt,4.6e-05,53
AfD,million wähler,4.6e-05,54
AfD,wer grün,4.6e-05,55
AfD,werten leugner,4.6e-05,56
AfD,leugner klimawandel,4.6e-05,57
AfD,rot grün,4.5e-05,58
AfD,beratung,4.4e-05,59
AfD,steuern abgabe,4.4e-05,60
AfD,komplett,4.4e-05,61
AfD,grün-linke,4.3e-05,62
AfD,gescheitert energiewende,4.3e-05,63
AfD,grün wählen,4.3e-05,64
AfD,präsidium landsleute,4.3e-05,65
AfD,stream,4.2e-05,66
AfD,nord stream,4.2e-05,67
AfD,massenmigration,4.2e-05,68
AfD,aufmerksamkeit,4.2e-05,69
AfD,wort bündnis,4.1e-05,70
AfD,migrant,4.1e-05,71
AfD,altfraktion,4.1e-05,72
AfD,afd-geführte,4.1e-05,73
AfD,kohle kernenergie,4.1e-05,74
AfD,preiswert zuverlässig,4.1e-05,75
AfD,gott gruß,4.1e-05,76
AfD,energiepolitik,4e-05,77
AfD,feministisch,4e-05,78
AfD,bild,4e-05,79
AfD,ersetzen,4e-05,80
AfD,abgabenlast,3.9e-05,81
AfD,schuldenkoalition,3.9e-05,82
AfD,effektiv,3.9e-05,83
AfD,draußen,3.9e-05,84
AfD,grün ideologie,3.9e-05,85
AfD,interessant,3.9e-05,86
AfD,stehen afd,3.8e-05,87
AfD,grün politik,3.8e-05,88
AfD,hellbraun,3.8e-05,89
AfD,zwangsgebühr,3.8e-05,90
AfD,kramer,3.8e-05,91
AfD,all bürger,3.8e-05,92
AfD,gelb schwarz,3.8e-05,93
AfD,million syrer,3.8e-05,94
AfD,staatssekretär,3.8e-05,95
AfD,schüler,3.8e-05,96
AfD,zumindest,3.7e-05,97
AfD,paar,3.7e-05,98
AfD,verantwortlich,3.7e-05,99
AfD,ausstieg kernenergie,3.7e-05,100
BSW,bündnis sahra,0.000711,1
BSW,kriegskredit,0.000512,2
BSW,teilen besorgnis,0.000384,3
BSW,gewinnbar krieg,0.000307,4
BSW,atommacht russland,0.000307,5
BSW,direkt kriegsbeteiligung,0.000307,6
BSW,brauchen tarifbindung,0.000307,7
BSW,bundesdeutsch geschichte,0.000256,8
BSW,wagenknecht,0.000241,9
BSW,waffenscheck,0.00023,10
BSW,waffenstopp,0.00023,11
BSW,krieg atommacht,0.00023,12
BSW,baerbock sanktion,0.00023,13
BSW,mythos haushalt,0.00023,14
BSW,führen wirtschaftskrieg,0.00023,15
BSW,wer lohnabstand,0.00023,16
BSW,auftrag tarifgebunden,0.00023,17
BSW,bsw lehnen,0.00023,18
BSW,vernunft gerechtigkeit,0.00023,19
BSW,änderung international,0.00023,20
BSW,schicken bundeswehr,0.00023,21
BSW,bsw fordern,0.00023,22
BSW,rechtsextrem regierung,0.00023,23
BSW,bsw klar,0.00023,24
BSW,wagenknecht fordern,0.00023,25
BSW,untersuchungsausschuß viel,0.00023,26
BSW,öffentlich gesundheitssystem,0.00023,27
BSW,wagenknecht lehnen,0.00023,28
BSW,ausländisch erntehelfer,0.00023,29
BSW,deutschland stationieren,0.00023,30
BSW,grund anderer,0.00023,31
BSW,problem zuwanderung,0.00023,32
BSW,umweltproblem lösen,0.00023,33
BSW,beziehung syrien,0.00023,34
BSW,wagenknecht redezeit,0.00023,35
BSW,vernünftig energieversorgung,0.00023,36
BSW,pflegeversicherung zurückzahlen,0.00023,37
BSW,aufrüstungsprogramm bundesdeutsch,0.00023,38
BSW,reichen mächtig,0.00023,39
BSW,waffengeschenk,0.000205,40
BSW,sterben ukraine,0.000205,41
BSW,mindestlohn tarifbindung,0.000205,42
BSW,axt sozialstaat,0.000205,43
BSW,sozialstaat legen,0.000205,44
BSW,mythos nato,0.000205,45
BSW,ausländisch truppe,0.000205,46
BSW,freiheit unterdrücken,0.000205,47
BSW,sahra,0.000202,48
BSW,sahra wagenknecht,0.000202,49
BSW,wirtschaftskrieg russland,0.000181,50
BSW,gernegroß,0.000153,51
BSW,pds-gruppe,0.000153,52
BSW,konsumverzicht,0.000153,53
BSW,tuchel,0.000153,54
BSW,nettomigrationsrat,0.000153,55
BSW,ultrarecht,0.000153,56
BSW,militäroffensive,0.000153,57
BSW,mentalitätsreform,0.000153,58
BSW,transideologi,0.000153,59
BSW,aufnahmerecht,0.000153,60
BSW,konfrontationspolitik,0.000153,61
BSW,us-raketen,0.000153,62
BSW,us-mittelstreckenraketen,0.000153,63
BSW,rousseau,0.000153,64
BSW,stahlarbeiter,0.000153,65
BSW,medikalisierung,0.000153,66
BSW,entweder-oder-politik,0.000153,67
