politician_id,job_title,job_title_extra,organization,income_level,income,interval,created,date_start,date_end,category,topics
175438,Mitglied des Rates (bis (05.11.2025),Einkommen ab 01.01.2025,Stadt Moers,,395.4,1,1770200694,2025-01-01,,29229,Staat und Verwaltung
29490,"Vorsitzender des Aufsichtsrates, ehrenamtlich",,HAUS & GRUNDEIGENTUM Service GmbH,1,3000.0,,1769795207,,,29228,Wirtschaft
175904,Geschäftsführender Gesellschafter,,Küchen- und Granitvertriebsgesellschaft Schattner mbH,,,,1769785494,,,29647,Wirtschaft
121794,Beteiligung,,JMV SE & Co. KG,,,,1769685700,,,29231,Wirtschaft
79335,Präsident,,Steuerberaterkammer Niedersachsen,,,,1769614827,,,29229,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen|Wirtschaft"
79335,Mitglied des Beirates,,DATEV eG,,,,1769587362,,,29228,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen|Wirtschaft"
79336,Mitglied des Vorstandes,,Institut Mittelstand & Compliance e.V.,,,,1769416705,,,29230,"Wissenschaft, Forschung und Technologie|Wirtschaft"
79334,Mitglied des Politischen Beirates,,Bundesverband mittelständische Wirtschaft Unternehmerverband Deutschlands e.V. (BVMW),,,,1769201702,,,29230,Wirtschaft
108738,Mitglied der Regionalversammlung (ab 18.09.2024),Einkommen im Jahr 2025,Verband Region Stuttgart,,1000.0,,1768990329,2025-01-01,2025-12-31,29229,Staat und Verwaltung|Wirtschaft
108738,Mitglied der Regionalversammlung (ab 18.09.2024),Einkommen im Jahr 2024,Verband Region Stuttgart,1,1351.8,,1768990161,2024-01-01,2024-12-31,29229,Staat und Verwaltung|Wirtschaft
79389,Mitglied des Aufsichtsrates,Einkommen ab 01.01.2023,Buchstelle LBV GmbH,2,7000.0,2,1768561620,2023-01-01,,29228,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen|Wirtschaft"
78821,"Mitglied des Beirates und des Wirtschaftsausschusses, ehrenamtlich",,DBU Naturerbe GmbH,,,,1766419255,,,29228,Umwelt
31221,Beteiligung,,Trade Point Mobil GmbH (haftungsbeschränkt),,,,1765364574,,,29231,Wirtschaft
175512,Mitglied des Verwaltungsrates (bis Mai 2025),,Kreditanstalt für Wiederaufbau (KfW),,,,1764936627,,,29229,"Finanzen|Öffentliche Finanzen, Steuern und Abgaben|Wirtschaft"
175502,Mitglied des Stadtrates,,Stadt Koblenz,,300.0,1,1763981803,,,29229,Staat und Verwaltung
175836,Mitglied des Städteregionstages,Einkommen bis 31.07.2025,StädteRegion Aachen,1,1072.28,1,1763375051,,2025-07-31,29229,Staat und Verwaltung
175836,Mitglied des Stadtrates (bis 31.10.2025),Einkommen ab 01.01.2025,Stadt Eschweiler,,437.0,1,1763374665,2025-01-01,,29229,Staat und Verwaltung
79322,Stellv. Vorsitzender des Verwaltungsrates (bis 05.05.2025),,Sparkasse Essen,,,,1762938528,,,29229,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen|Wirtschaft"
79322,Mitglied des Aufsichtsrates (bis 05.05.2025),,Stadtwerke Essen AG,,,,1762938173,,,29228,Energie|Wirtschaft
79133,Generalsekretär (bis 26.06.2025),,Sozialdemokratische Partei Deutschlands (SPD),,,,1762424612,,,29647,"Politisches Leben, Parteien"
118131,"Mitglied der Versammlung der Kuratoren, ehrenamtlich",,Institut für Europäische Politik e.V. (IEP),,,,1761226284,,,29230,Staat und Verwaltung
145921,Mitglied des Aufsichtsrates (bis 31.12.2025),,Toll Collect GmbH,,,,1760033881,,,29228,Verkehr
78812,Mitglied des Stadtrates,Einkommen von November 2022 bis August 2025,Stadt Bayreuth,,820.0,1,1759400544,2022-11-01,2025-08-31,29229,Staat und Verwaltung
175555,"Mitglied des Stiftungsrates, ehrenamtlich",,Stiftung Wissenschaft und Politik (SWP),,,,1757327703,,,29230,"Politisches Leben, Parteien|Wissenschaft, Forschung und Technologie"
175555,"Mitglied des Präsidiums, ehrenamtlich",,Deutsche Gesellschaft für Auswärtige Politik e.V.,,,,1757324235,,,29230,Außenpolitik und internationale Beziehungen
79293,Mitglied des Verwaltungsrates (ab 09.12.2021),Einkommen im Jahr 2024,Sparkasse Hannover,1,1950.0,,1757322772,2024-01-01,2024-12-31,29229,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen|Wirtschaft"
