politician_id,name,party,occupation,year_of_birth,field_title,sex,education
175696,Ann-Veruschka Jurisch,FDP,,1972.0,Dr.,f,Juristin (Dr. jur.)
146028,Tobias B. Bacherle,BÜNDNIS 90/­DIE GRÜNEN,MdB,1994.0,,m,Politik- und Medienwissenschaft
150296,Christian Wirth,AfD,MdB,1963.0,Dr.,m,Rechtsanwalt
79275,Dieter Janecek,BÜNDNIS 90/­DIE GRÜNEN,MdB,1976.0,,m,Politikwissenschaftler
122063,Tobias Matthias Peterka,AfD,MdB,1982.0,,m,
78886,Katrin Göring-Eckardt,BÜNDNIS 90/­DIE GRÜNEN,MdB,1966.0,,f,
145783,Jürgen Pohl,AfD,"MdB, Rechtsanwalt",1964.0,,m,Jurist
120819,Ali Al-Dailami,BSW,Angestellter,1981.0,,m,Restaurantfachmann
135302,Janine Wissler,Die Linke.,MdB,1981.0,,f,Dipl. Politologin
145984,Boris Mijatović,BÜNDNIS 90/­DIE GRÜNEN,MdB,1974.0,,m,Politikwissenschaftler
175428,Franziska Mascheck,SPD,MdB,1979.0,,f,Sozialarbeiterin
122880,Daniela Kluckert,FDP,Bundestagsabgeordnete,1980.0,,f,Diplom Volkswirtin
134400,Christoph Meyer,FDP,"MdB, Rechtsanwalt",1975.0,,m,Bankkaufmann
79217,Renate Künast,BÜNDNIS 90/­DIE GRÜNEN,MdB,1955.0,,f,Juristin und Sozialarbeiterin
175488,Ruppert Stüwe,SPD,MdB,1978.0,,m,Dipl. Volkswirt
175401,Annika Klose,SPD,MdB,1992.0,,f,Sozialwissenschaftlerin
79091,Petra Pau,Die Linke.,MdB,1963.0,,f,"Lehrerin, Gesellschaftswissenschaftlerin"
29199,Anke Domscheit-Berg,Die Linke.,"MdB, Publizistin",1968.0,,f,M.A. European Business Administration
175923,Hannes Gnauck,AfD,MdB,1991.0,,m,Soldat auf Zeit
78882,Matthias W. Birkwald,Die Linke.,MdB,1961.0,,m,Diplom-Sozialwissenschaftler
173148,Emilia Fester,BÜNDNIS 90/­DIE GRÜNEN,Regieassistentin für Kindertheater,1998.0,,f,
175596,Katharina Beck,BÜNDNIS 90/­DIE GRÜNEN,Unternehmensberaterin für Nachhaltigkeit,1982.0,,f,"Diplom Regionalwissenschaftlerin, Finanzbetriebswirtin (IWW)"
175851,Franziska Hoppermann,CDU/CSU,MdB,1982.0,,f,Diplom-Kauffrau
176316,Stefan Seidler,fraktionslos,MdB,1979.0,,m,Master of Science
79125,Cornelia Möhring,Die Linke.,MdB,1960.0,,f,Dipl. Sozialökonomin
147321,Gereon Bollmann,AfD,"Richter am Oberlandesgericht (a.D.), MdB",1953.0,,m,Jurist
150295,Uwe Witt,fraktionslos,MdB,1959.0,,m,"Staatl. gepr. Techniker, Dipl.-Personalbetriebswirt (IDB)"
175542,Bruno Hönel,BÜNDNIS 90/­DIE GRÜNEN,,1996.0,,m,Psychologe (M.Sc.)
175557,Denise Loop,BÜNDNIS 90/­DIE GRÜNEN,Angestellte im öffentlichen Dienst,1994.0,,f,Sozialarbeiterin
78819,Konstantin von Notz,BÜNDNIS 90/­DIE GRÜNEN,MdB,1971.0,Dr.,m,Jurist
120104,Ingrid Nestle,BÜNDNIS 90/­DIE GRÜNEN,MdB,1977.0,,f,Diplom-Wirtschaftsingenieurin
139271,Luise Amtsberg,BÜNDNIS 90/­DIE GRÜNEN,MdB,1984.0,,f,Islamwissenschaftlerin
175778,Max Mordhorst,FDP,,1996.0,,m,
118250,Christine Aschenberg-Dugnus,FDP,"MdB, Rechtsanwältin",1959.0,,f,
151468,Gyde Jensen-Bornhöft,FDP,MdB,1989.0,,f,Master of Arts - Internationale Politik/Internationales Recht
122157,Wolfgang Kubicki,FDP,"MdB, Bundestagsvizepräsident",1952.0,,m,Rechtsanwalt
130900,Petra Nicolaisen,CDU/CSU,MdB,1965.0,,f,Industriekauffrau
79362,Ingo Gädechens,CDU/CSU,MdB,1960.0,,m,
78818,Johann Wadephul,CDU/CSU,MdB,1963.0,Dr.,m,Jurist
108605,Alexander Throm,CDU/CSU,MdB,1968.0,,m,Volljurist
108738,Fabian Gramling,CDU/CSU,MdB,1987.0,,m,Betriebswirt
