fraktion,wort,tfidf,rang
AfD,windindustrieanlage,0.000193,1
AfD,masseneinwanderung,0.000185,2
AfD,altpartei,0.000175,3
AfD,kernenergie,0.000132,4
AfD,ökosozialistisch,0.000122,5
AfD,national,0.000116,6
AfD,hause,8.4e-05,7
AfD,merkel,8.2e-05,8
AfD,kernkraft,6.5e-05,9
AfD,projekt,6.4e-05,10
AfD,gruppenvergewaltigung,6.3e-05,11
AfD,zukünftig,6.3e-05,12
AfD,klimareligion,6.2e-05,13
AfD,klimaideologie,6.2e-05,14
AfD,förderung,5.9e-05,15
AfD,artikel,5.8e-05,16
AfD,hellbraun,5.7e-05,17
AfD,klimahysterie,5.7e-05,18
AfD,kartellparteien,5.7e-05,19
AfD,klimaterrorisen,5.3e-05,20
AfD,knapp,5.3e-05,21
AfD,globalistisch,5.3e-05,22
AfD,weltdümm,4.9e-05,23
AfD,zwangsgebühr,4.9e-05,24
AfD,altfraktion,4.9e-05,25
AfD,kramer,4.9e-05,26
AfD,opfer,4.8e-05,27
AfD,leugner,4.8e-05,28
AfD,rahmen,4.3e-05,29
AfD,grenzöffnung,4.3e-05,30
AfD,wertschöpfend,4.3e-05,31
AfD,region,4.2e-05,32
AfD,armutsmigrann,4.1e-05,33
AfD,bürgerpartei,4.1e-05,34
AfD,inländerfeindlich,4.1e-05,35
AfD,massenzuwanderung,4.1e-05,36
AfD,umsetzung,4.1e-05,37
AfD,polen,4e-05,38
AfD,faesers,4e-05,39
AfD,ampelkoalition,3.9e-05,40
AfD,januar,3.8e-05,41
AfD,solange,3.8e-05,42
AfD,abgabenlast,3.8e-05,43
AfD,narrenschiff,3.7e-05,44
AfD,ratte,3.7e-05,45
AfD,hypermoralisch,3.7e-05,46
AfD,impfgeschädigen,3.7e-05,47
AfD,ökosozialismus,3.7e-05,48
AfD,asylforder,3.7e-05,49
AfD,stream,3.7e-05,50
AfD,zeitgeisen,3.7e-05,51
AfD,circa,3.6e-05,52
AfD,häufig,3.6e-05,53
AfD,schuldenkoalition,3.6e-05,54
AfD,massenmigration,3.5e-05,55
AfD,syrer,3.5e-05,56
AfD,nation,3.5e-05,57
AfD,übernehmen,3.5e-05,58
AfD,kinderbuchautor,3.4e-05,59
AfD,beratung,3.4e-05,60
AfD,feministisch,3.4e-05,61
AfD,sozialistisch,3.3e-05,62
AfD,absatz,3.3e-05,63
AfD,dümmste,3.3e-05,64
AfD,woken,3.3e-05,65
AfD,weltdümmsn,3.3e-05,66
AfD,klimaseken,3.3e-05,67
AfD,niedergangs,3.3e-05,68
AfD,kulturfremde,3.3e-05,69
AfD,boxer,3.3e-05,70
AfD,klimaextremisen,3.3e-05,71
AfD,koali,3.3e-05,72
AfD,asylmigrant,3.3e-05,73
AfD,wind,3.2e-05,74
AfD,gott,3.2e-05,75
AfD,behörde,3.2e-05,76
AfD,klimawahn,3.2e-05,77
AfD,herbeirufung,3.2e-05,78
AfD,migrationswend,3.2e-05,79
AfD,abschiebung,3.1e-05,80
AfD,präsidentin,3.1e-05,81
AfD,dezember,3.1e-05,82
AfD,planwirtschaftlich,3.1e-05,83
AfD,konservativ,3e-05,84
AfD,patient,2.9e-05,85
AfD,ideologe,2.9e-05,86
AfD,heizungshammer,2.9e-05,87
AfD,erziehen,2.9e-05,88
AfD,sicherheitsgefahr,2.9e-05,89
AfD,klingen,2.9e-05,90
AfD,verfassungsschutz,2.9e-05,91
AfD,schwab,2.9e-05,92
AfD,archaisch,2.9e-05,93
AfD,babylonisch,2.9e-05,94
AfD,hypothese,2.9e-05,95
AfD,politikwend,2.9e-05,96
AfD,verbrennungsmotorverbieten,2.9e-05,97
AfD,zufallsenergeinen,2.9e-05,98
AfD,genderideolog,2.9e-05,99
AfD,ghadban,2.9e-05,100
BSW,kriegskredite,0.000387,1
BSW,nettomigrationsraen,0.000241,2
BSW,militäroffensiven,0.000241,3
BSW,mentalitätsreform,0.000241,4
BSW,masterstudium,0.000241,5
BSW,weaffenstoppen,0.000241,6
BSW,aufnahmerecht,0.000241,7
BSW,konfrontationspolitik,0.000241,8
BSW,rousseau,0.000241,9
BSW,medikalisierung,0.000241,10
BSW,neuauszählung,0.000241,11
BSW,netanjahus,0.000232,12
BSW,aufrüstungsprogramm,0.000232,13
BSW,vertragswerke,0.000209,14
BSW,kriegseintritt,0.000157,15
BSW,stahlstandoren,0.000157,16
BSW,hochsicherheitsgefängnis,0.000155,17
BSW,lobbys,0.000155,18
BSW,sprechakt,0.000155,19
BSW,steuerkonzept,0.000155,20
BSW,bachelorstudium,0.000155,21
BSW,germanium,0.000155,22
BSW,plaza,0.000155,23
BSW,elektrolyseanlag,0.000155,24
BSW,standortschließung,0.000155,25
BSW,kanonenbootpolitik,0.000155,26
BSW,grütze,0.000155,27
BSW,militäreinsatz,0.000125,28
BSW,industriepreise,0.00012,29
BSW,schaufensterscheibe,0.00012,30
BSW,gewinnbaren,0.00012,31
BSW,fieberrausch,0.00012,32
BSW,remarque,0.00012,33
BSW,eisstand,0.00012,34
BSW,restbetrag,0.00012,35
BSW,schweinegrippe,0.00012,36
BSW,pandemieverträge,0.00012,37
BSW,impfstoffdeals,0.00012,38
BSW,deindustrialisierungswell,0.00012,39
BSW,sattelfest,0.00012,40
BSW,tuchel,0.00012,41
BSW,landoperation,0.00012,42
BSW,militärabenteuer,0.00012,43
BSW,psychosomatik,0.00012,44
BSW,reifungsprozesse,0.00012,45
BSW,fürsorgefunktion,0.00012,46
BSW,nordrhein,0.00012,47
BSW,kertsch,0.00012,48
BSW,extrasteuer,0.00012,49
BSW,fleischpreise,0.00012,50
BSW,belausch,0.00012,51
BSW,waffenantrag,0.00012,52
BSW,watschn,0.00012,53
BSW,krankheitsformen,0.00012,54
BSW,kriegsbegeisterung,0.00012,55
BSW,schreibtüchtig,0.00012,56
BSW,hightechforschung,0.00012,57
BSW,ultrarechten,0.00012,58
BSW,terrorhelfer,0.00012,59
