poll_id,topic
5295,Keine Streichung von Erbschaftssteuervergünstigungen (Beschlussempfehlung)
5289,Kein Stopp der EU-Gebäuderichtlinie (Beschlussempfehlung)
5263,Reform des Nachrichtendienstrechts
5252,Videokonferenzen in der Zivil- und Fachgerichtsbarkeit
5251,Moldau und Georgien als sichere Herkunftsstaaten (Entschließungsantrag)
5243,Änderung des Atomgesetzes
5242,Stiftungsfinanzierungsgesetz
5230,Änderung des Straßenverkehrsgesetzes
5217,Fortsetzung des Bundeswehreinsatzes im Irak
5190,Ablehnung des Elf-Punkte-Plans zum Schutz der Grenzen (Beschlussempfehlung)
5182,Umsatzsteuergesetz
5181,Änderungsantrag zum Energieeffizienzgesetz 
5180,Rücktritt von Bundesinnenministerin Nancy Faeser
5162,Gebäudeenergiegesetz
5100,Bundeswehreinsatz in Mali (MINUSMA) beenden
5099,Suizidprävention stärken
5098,Suizidhilfegesetz
5096,Ausbau der LNG-Gas-Infrastruktur
5091,Förderung der geschäftsmäßigen Sterbehilfe grundsätzlich verbieten
5069,Keine rückwirkende Besteuerung der Energiepreispauschale
5064,Verlängerung des Bundeswehreinsatzes vor der libanesischen Küste (UNIFIL)
5063,Beteiligung der Bundeswehr an der EU-geführten Sicherheitsoperation in Bosnien und Herzegowina (EUFOR ALTHEA)
5061,Fachkräfteeinwanderung
5059,Grenzüberschreitendes Entsenderecht im Straßenverkehr 
5058,2-Prozent-Hürde zur Europawahl
5057,LINKEN-Antrag ablehnen: Europäische Asylrechtsreform durchsetzen
5047,Pflegereform
5044,Letztmalige Verlängerung des Bundeswehreinsatzes in Mali (MINUSMA)
5043,Verlängerung des Bundeswehreinsatzes im Kosovo (KFOR)
5033,Stärkung und Reform der Weltgesundheitsorganisation
5032,Keine sofortige Einleitung der Rückführungsoffensive 
5031,Einführung von bundesweiten Volksentscheiden
5030,"Einsetzung des Bürgerrats ""Ernährung im Wandel"""
5011,Neuregelung der deutschen Asyl- und Flüchtlingspolitik
5007,Beteiligung der Bundeswehr in Niger (EUMPM Niger)
5006,Keine Bejagung von Wölfen
5005,Bewaffneter Streitkräfteeinsatz im Sudan
4999,Bundeswehreinsatz im Mittelmeer verlängern (EUNAVFOR MED IRINI)
4992,Änderung des Energiesicherungsgesetzes
4991,"Untersuchungsausschuss ""Bekämpfung des Corona-Virus"" nicht einsetzen"
4967,Laufzeitverlängerung der Kernkraftwerke 
4965,Verlängerung des Bundeswehreinsatzes in Südsudan (UNMISS)
4961,Verlängerung des Bundeswehreinsatzes SEA GUARDIAN im Mittelmeer
4936,Wahlrechtsreform zur Verkleinerung des Bundestages 
4890,Einführung einer Strompreisbremse
4889,Preisbremsen für leitungsgebundenes Erdgas und Wärme
4877,Jahressteuergesetz 2022
4876,Chancen-Aufenthaltsrecht
4872,Ratifizierung des CETA-Abkommens
4871,Vor­gezogener Braunkohle­ausstieg im Rheinischen Revier
4866,Digitale Verkündung von Bundesgesetzen und Verordnungen
4864,Einigungsvorschlag zum Bürgergeld-Gesetz
4863,Etat des Bundeskanzlers und des Bundeskanzleramtes 2023
4862,Der Bundeshaushalt 2023
4861,Änderung des Energiesicherungsgesetzes
4832,Änderung des Infektionsschutzgesetzes (Triage-Entscheidungen)
4831,Inflationsausgleichsgesetz
4830,Vermögensabgabe für Milliardär:innen und Multimillionär:innen (Antrag)
4828,Weiterbetrieb deutscher Atomkraftwerke bis zum 15. April 2023
4827,Wahlwiederholung der Bundestagswahl in 431 Berliner Wahlbezirken
4826,Einführung des Bürgergeldes
4808,Änderung des Bundeszentralregistergesetzes
4805,Entschließungsantrag DIE LINKE: Finanz­reform der gesetzlichen Krankenversicherung
4804,Verlängerung des Bundeswehreinsatzes im Irak (2023)
4803,Abwehrschirm gegen gestiegene Strom- und Gaspreise
4798,Verbot von Strom- und Gassperren
4776,Wiedereinsetzung des Stabilitäts- und Wachstumspaktes auf EU-Ebene
4773,Beschlussempfehlung gegen Entschließungsantrag zu Waffenlieferungen an die Ukraine
4770,Aufhebung der Gaspreisanpassungsverordnung (Entschließungsantrag)
4768,Entschließungsantrag gegen Abschöpfung von Krisengewinnen
4767,Weiterbetrieb von Kernkraftwerken (Änderungsantrag)
4719,Stärkung des Schutzes der Bevölkerung vor COVID-19
4674,Beschleunigter Ausbau erneuerbarer Energien (Beschlussempfehlung)
4673,Änderung des Windenergie-auf-See-Gesetzes
4668,Ausbau von Windenergieanlagen an Land erhöhen und beschleunigen
4667,Bereithaltung von Ersatzkraftwerken (Änderungsantrag CDU/CSU-Fraktion)
4666,Änderung des Bundesnaturschutzgesetzes
4663,Schnellerer Ausbau erneuerbarer Energien
4661,Bundeswehrbeschaffungsbeschleunigungsgesetz (Entschließungsantrag CDU/CSU-Fraktion)
4657,Beteiligung der Bundeswehr an der EU-geführten Sicherheitsoperation in Bosnien und Herzegowina (EUFOR ALTHEA)
4655,Verlängerung des Bundeswehreinsatzes im Kosovo (KFOR 2022/2023)
4649,Beteiligung deutscher Streitkräfte an UNIFIL
4646,Sondervermögen Bundeswehr
4645,Grundgesetzänderung (Artikel 87a)
4643,"AfD-Antrag zum ""Sondervermögen Bundeswehr"""
4637,Anhebung des Mindestlohns für Minijobs 
4614,Schuldentilgung der Haushaltsjahre 2020-2022
4613, Bundeshaushaltsplan für das Haushaltsjahr 2022 (Haushaltsgesetz)
4612,Etat des Bundeskanzlers und des Bundeskanzleramtes 2022
4596,AfD-Antrag: Einrichtungsbezogene Impfpflicht abschaffen
4595,CDU/CSU-Antrag: Sicherung der Nahrungsmittelversorgung der Ukraine
4594,CDU/CSU-Antrag: Förderung der energie­effizienten Gebäude­sanierung 
4593,Fortsetzung des Bundeswehreinsatzes im Sahel mit Schwerpunkt Niger (EUTM Mali 2022/2023)
4592,Verlängerung des Bundeswehreinsatzes in Mali (MINUSMA 2022/2023)
4570,Umfassende Unterstützung für die Ukraine 
4568,Verlängerung des Bundeswehreinsatzes im Mittelmeer (Operation EUNAVFOR MED IRINI)
4542,AfD-Antrag: Keine Impfpflicht gegen COVID-19
4541,Impfbereitschaft ohne allgemeine Impfpflicht erhöhen
4540,CDU/CSU-Antrag: Impfvorsorgegesetz
4539,Impfpflicht ab 60
4517,Verlängerung der Bundeswehrbeteiligung an NATO-Operation SEA GUARDIAN im Mittelmeer (2022/23)
4516,Verlängerung des Bundeswehreinsatzes im Südsudan (UNMISS 2022/23)
4515,Änderung des Infektionsschutzgesetzes (Ende weitreichender Corona-Maßnahmen)
4514,CDU/CSU-Antrag: Sicherung einer bezahlbaren und souveränen Energieversorgung
4449,Ausnahme von der „Schuldenbremse“
4447,Fortsetzung des Einsatzes der Bundeswehr im Irak
4446,Zweiter Nachtrag zum Bundeshaushalt 2021
4388,DIE LINKE-Antrag: Prämie für Beschäftigte im Gesundheits- und Pflegesystem
4386,Impfpflicht für bestimmte Berufsgruppen und weitere Änderungen im Infektionsschutzgesetz
4372,CDU/CSU-Antrag: Verlängerung der epidemischen Lage nationaler Tragweite
4370,Änderung des Infektionsschutzgesetzes (Ende der epidemischen Lage)
