poll_id,topic
5957,Lockerung der Schuldenbremse
5871,Verlässliches Hilfesystem bei geschlechtsspezifischer und häuslicher Gewalt 
5868,Verlängerung des Bundeswehreinsatzes EUNAVFOR MED IRINI im Mittelmeer
5867,Verlängerung des Bundeswehreinsatzes UNMISS im Südsudan
5865,"Entschließungsantrag ""27 Maßnahmen zur Stärkung innerer Sicherheit"""
5864,Zustrombegrenzungsgesetz
5861,"Entschließungsantrag ""Fünf-Punkte-Plan"" zur Migrationspolitik"
5860,Verlängerung des Bundeswehreinsatzes EUNAVFOR ASPIDES im Roten Meer
5859,Verlängerung des Bundeswehreinsatzes SEA GUARDIAN im Mittelmeer
5841,Regelungen zum Bundesverfassungsgericht ins Grundgesetz
5829,Vertrauensfrage des Bundeskanzlers
5779,Abstimmungen zum Sicherheitspaket
5777,Gesetzentwurf zum Krankenhausversorgungsverbesserungsgesetz
5774,Aufhebung des Lieferkettensorgfaltspflichtengesetzes
5773,Fortsetzung des Einsatzes bewaffneter deutscher Streitkräfte im Irak
5628,Änderung des Schwangerschaftskonfliktgesetzes
5604,Verlängerung der Bundeswehrbeteiligung im Libanon (UNIFIL)
5603,Weitere Beteiligung der Bundeswehr an der EU-geführten Sicherheitsoperation in Bosnien und Herzegowina (EUFOR ALTHEA)
5602,Verlängerung des Bundeswehreinsatzes im Kosovo (KFOR 2024/2025)
5593,Zweite Beratung zur Aufhebung des Lieferkettengesetzes ohne Beratung in den Ausschüssen
5592,"Ablehnung eines Antrags zum Verbot des Vereins ""Muslim Interaktiv"""
5591,Konsequenzen aus der tödlichen Messerattacke in Mannheim
5570,Ablehnung eines Antrags zur Bekämpfung der Gefahr durch den politischen Islam 
5569,Verbesserung des Klimaschutzes beim Immissionsschutz
5568,Keine Ab­schaf­fung des Solidaritäts­zuschlags
5540,Keine Ablehnung des WHO-Pandemievertrags
5522,Änderung des Erneuerbare-Energien-Gesetzes
5507,Verlängerung des Bundeswehreinsatzes im Mittelmeer (EUNAVFOR MED IRINI)
5496,Selbstbestimmungsgesetz
5489,Änderung des Energiewirtschaftsgesetzes
5469,Forderung nach Steuervergünstigung für Agrardiesel ablehnen
5466,Verlängerung des Bundeswehreinsatzes SEA GUARDIAN im Mittelmeer
5465,Verlängerung des Bundes­wehreinsatzes in Südsudan (UNMISS)
5459,Keine Lieferung von Taurus-Marschflugkörpern an die Ukraine (Beschlussempfehlung)
5421,Vermittlungs­ergebnis zum Wachstums­chancengesetz
5418,Cannabisgesetz
5414,Militärische Unterstützung für die Ukraine
5413,Veränderungen in der deutschen Außen- und Sicherheitspolitik erforderlich
5397,Einsatz der Bundeswehr im Roten Meer 
5384,Haushaltsgesetz 2024
5382,Haushalt 2024 - Etat des Bundeskanzlers
5381,Änderung des Bundeswahlgesetzes 
5370,Entlastung der Landwirtschaft
5369,Modernisierung des Staatsangehörigkeitsrechts
5368,Friedensinitiative für die Ukraine und Russland (Beschlussempfehlung zur Ablehnung des Antrags)
5367,Lieferung von TAURUS-Marschflugkörpern an die Ukraine
5324,Änderung des Parteiengesetzes
5323,Artikel 115 II GG - Aussetzen der Schuldenbremse für 2023
5319,Änderung des Erneuerbare-Energien-Gesetzes
5315,Nachtragshaushaltsgesetz 2023
5302,Erweiterter Tätigkeitsbereich der Europäischen Bank für Wiederaufbau und Entwicklung
