committee_id,label,topics
6338,Enquete-Kommission „Aufarbeitung der Corona-Pandemie und Lehren für zukünftige pandemische Ereignisse“,Gesundheit
6337,Unterausschuss Europarecht,Europapolitik und Europäische Union|Recht
6336,"Unterausschuss Krisenprävention, strategische Vorausschau, Stabilisierung und Friedensförderung",Außenpolitik und internationale Beziehungen
6335,"Unterausschuss Internationale Ordnung, Vereinte Nationen und internationale Organisationen","Außenpolitik und internationale Beziehungen|Gesellschaftspolitik, soziale Gruppen"
6333,"Unterausschuss Rüstungs- und Proliferationskontrolle, Nichtverbreitung und internationale Abrüstung",Verteidigung
6332,Unterausschuss Auswärtige Kultur- und Bildungspolitik,Bildung und Erziehung|Kultur
6252,Parlamentarischer Beirat für nachhaltige Entwicklung und Zukunftsfragen,Entwicklungspolitik|Umwelt
6174,Vertrauensgremium,Bundestag|Staat und Verwaltung
6173,Bundesfinanzierungsgremium,"Öffentliche Finanzen, Steuern und Abgaben"
6172,Kinderkommission - Kommission zur Wahrnehmung der Belange der Kinder,"Gesellschaftspolitik, soziale Gruppen"
6138,Rechnungsprüfungsausschuss,"Öffentliche Finanzen, Steuern und Abgaben"
6137,Unterausschuss zu Fragen der Europäischen Union,"Europapolitik und Europäische Union|Öffentliche Finanzen, Steuern und Abgaben"
6115,Wahlausschuss,Bundestag|Recht
6113,Finanzausschuss,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen"
6108,"Ausschuss für Wohnen, Stadtentwicklung, Bauwesen und Kommunen","Raumordnung, Bau- und Wohnungswesen"
6107,Ausschuss für wirtschaftliche Zusammenarbeit und Entwicklung,Außenwirtschaft|Entwicklungspolitik|Humanitäre Hilfe
6106,Ausschuss für Wirtschaft und Energie,Energie|Wirtschaft
6105,"Ausschuss für Wahlprüfung, Immunität und Geschäftsordnung",Bundestag|Geschäftsordnung|Immunität|Wahlprüfung
6104,Verteidigungsausschuss,Außenpolitik und internationale Beziehungen|Verteidigung
6103,Verkehrsausschuss,Verkehr
6102,"Ausschuss für Umwelt, Klimaschutz, Naturschutz und nukleare Sicherheit",Umwelt|Klima|Naturschutz|Reaktorsicherheit
6101,Ausschuss für Tourismus,"Sport, Freizeit und Tourismus|Tourismus"
6100,Ausschuss für Sport und Ehrenamt,"Sport, Freizeit und Tourismus|Sport"
6099,Ausschuss für Recht und Verbraucherschutz,Recht|Verbraucherschutz
6096,Petitionsausschuss,Bundestag|Petitionen
6093,Ausschuss für Menschenrechte und humanitäre Hilfe,Humanitäre Hilfe|Menschenrechte
6092,"Ausschuss für Landwirtschaft, Ernährung und Heimat",Landwirtschaft und Ernährung
6091,Ausschuss für Kultur und Medien,Kultur|Medien
6090,Innenausschuss,Innere Sicherheit|Innere Angelegenheiten|Migration und Aufenthaltsrecht|Recht|Staat und Verwaltung
6089,Haushaltsausschuss,"Öffentliche Finanzen, Steuern und Abgaben|Haushalt"
6088,Ausschuss für Gesundheit,Gesundheit
6087,"Ausschuss für Forschung, Technologie, Raumfahrt und Technikfolgenabschätzung","Wissenschaft, Forschung und Technologie"
6085,Ausschuss für die Angelegenheiten der Europäischen Union,Europapolitik und Europäische Union
6084,Ausschuss für Digitales und Staatsmodernisierung,"Medien, Kommunikation und Informationstechnik|Digitale Agenda|digitale Infrastruktur|Medien"
6083,"Ausschuss für Bildung, Familie, Senioren, Frauen und Jugend","Bildung und Erziehung|Gesellschaftspolitik, soziale Gruppen"
6082,Auswärtiger Ausschuss,Außenpolitik und internationale Beziehungen
6081,Ausschuss für Arbeit und Soziales,Arbeit und Beschäftigung|Soziale Sicherung
5995,Parlamentarisches Kontrollgremium (PKGr),Bundestag|Staat und Verwaltung
