politician_id,job_title,job_title_extra,organization,income_level,income,interval,created,date_start,date_end,category,topics
175923,Mitglied des Kreistages,,Landkreis Uckermark,,,,1671464673,,,29229,Staat und Verwaltung
175923,Mitglied der Gemeindevertretung,,Gemeinde Uckerfelde,,,,1671464587,,,29229,Staat und Verwaltung
168306,"Mitglied des Kreistages, ehrenamtlich",,Landkreis Nordsachsen,,,,1671463626,,,29229,Staat und Verwaltung
79465,"Mitglied des Kuratoriums, ehrenamtlich",,Deutsche Orient-Stiftung,,,,1671461769,,,29230,Außenpolitik und internationale Beziehungen
145732,Beteiligung,,Unlimited-S&P GmbH i.L.,,,,1671029091,,,29231,Wirtschaft
145732,Mitglied des Stadtrates,,Stadt Bitterfeld-Wolfen,,,,1671028849,,,29229,Staat und Verwaltung
145732,Mitglied des Kreistages,,Landkreis Anhalt-Bitterfeld,,,,1671028798,,,29229,Staat und Verwaltung
145764,"Mitglied des Beirates, ehrenamtlich",,Stiftung Datenschutz,,,,1670939878,,,29230,"Medien, Kommunikation und Informationstechnik|Digitale Agenda|digitale Infrastruktur"
175471,Vergünstigter Telekomvertrag mit Smartphone für Mitarbeiter der Deutsche Telekom AG,,Deutsche Telekom AG,,,,1670939029,,,29233,"Medien, Kommunikation und Informationstechnik"
175471,Mitglied des Beirates,,Initiative Jugendparlament e.V.,,,,1670938951,,,29230,"Gesellschaftspolitik, soziale Gruppen|Jugend"
175471,Mitglied des GIHF-AI Kuratoriums,,ELNET Deutschland e.V.,,,,1670938886,,,29230,"Gesellschaftspolitik, soziale Gruppen"
145921,Leiterin der Arbeitsgruppe „Mehr Frauen im ADFC“,, Allgemeiner Deutscher Fahrrad-Club Berlin e.V.,,,,1670938679,,,29230,Verkehr
73426,"Präsidentin, ehrenamtlich",,Bundesvereinigung Prävention und Gesundheitsförderung e.V. (BVPG),,,,1670880492,,,29230,Gesundheit
73426,"Vorsitzende des Vorstandes, ehrenamtlich",,Aktion Psychisch Kranke e.V. (APK),,,,1670880427,,,29230,Gesundheit
175438,Mitglied des Vorstandes (bis 05.11.2025),,Partnerschaftsverein La Trinidad-Moers e.V.,,,,1670878474,,,29230,Außenpolitik und internationale Beziehungen
175438,Mitglied des Vorstandes,,Institut Solidarische Moderne e.V.,,,,1670878419,,,29230,"Politisches Leben, Parteien|Gesellschaftspolitik, soziale Gruppen"
175438,"Mitglied des Ausschusses für Stadtentwicklung, Planen und Umwelt (bis 05.11.2025)",,Stadt Moers,,,,1670878332,,,29229,"Staat und Verwaltung|Raumordnung, Bau- und Wohnungswesen|Umwelt"
