politician_id,name,party,occupation,year_of_birth,field_title,sex,education
184332,Mayra Vriesema,BÜNDNIS 90/­DIE GRÜNEN,,1999.0,,f,Politikwissenschaftlerin
183275,Lisa Schubert,Die Linke,Student*in Sozialwissenschaften,2002.0,,d,
182187,Andrea Lübcke,BÜNDNIS 90/­DIE GRÜNEN,Wissenschaftsbasierte Politikberatung,1978.0,Dr.,f,Physikerin
182836,Reza Asghari,CDU/CSU,Professor,1961.0,,m,Doktor der Wirtschaftswissenschaften
79014,Carsten Schneider,SPD,"MdB, Parlamentsgeschäftsführer im Bundestag",1976.0,,m,Bankkaufmann
175896,Alexis Giersch,AfD,Kanalsteuerer a.D.,,,m,
79097,Aydan Özoğuz,SPD,MdB,,,f,
78834,Mahmut Özdemir,SPD,"Rechtsreferendar (beurlaubt), MdB",1987.0,,m,
66563,Cansu Özdemir,Die Linke,MdHB & Studentin,1988.0,,f,
175403,Armand Zorn,SPD,MdB,1988.0,,m,"Politologe, Ökonom und Wirtschaftsjurist"
178590,Ulrich von Zons,AfD,Rechtsanwalt & Fraktionsmitarbeiter,1968.0,,m,Volljurist
182827,Vanessa-Kim Zobel,CDU/CSU,Bankkauffrau,1988.0,,f,Wirtschaftsfachwirtin (IHK geprüft)
183503,Jörg Zirwes,AfD,Kreis-und Fraktionsvorsitzender AfD Cochem-Zell,1968.0,,m,Berufssoldat a.D.
175876,Nicolas Zippelius,CDU/CSU,MdB,1987.0,,m,Bachelor Politik- und Rechtswissenschaften
175914,Diana Zimmer,AfD,Controllerin,1998.0,,f,Betriebswirtin (B.Sc.)
78902,Stefan Zierke,SPD,MdB,1970.0,,m,Werkzeugmacher Reiseverkehrskaufmann und Tourismusfachwirt
145878,Paul Ziemiak,CDU/CSU,MdB,1985.0,,m,
145732,Kay-Uwe Ziegler,AfD,MdB,1963.0,,m,Veterinäringenieur
78904,Emmi Zeulner,CDU/CSU,MdB,1987.0,,f,Examinierte Gesundheits- und Krankenpflegerin
183257,Anne Zerr,Die Linke,Gewerkschaftssekretärin,1993.0,,f,
178558,Daniel Zerbin,AfD,Professor für Kriminalwissenschaften,,,m,
178644,Christian Zaum,AfD,Lehrer,1969.0,,m,1. und 2. Staatsexamen für Lehramt Gymnasium
130692,Serdar Yüksel,SPD,,1973.0,,m,
149653,Mareike Lotte Wulf,CDU/CSU,Geschäftsführerin Bereich Bildung bei den Unternehmerverbänden Niedersachsen (UVN),1979.0,,f,Diplom Sozialwissenschaftlerin
66277,Alexander Wolf,AfD,"MdHB, Rechtsanwalt",1967.0,,m,Volljurist
